nnz,mat_size,std_row,N,CUDA_cores,bandwidth,L2_cache,tag
2148786,20923333201,2.718314,1,2944,448,4096,5
2148786,20923333201,2.718314,2,2944,448,4096,0
2148786,20923333201,2.718314,4,2944,448,4096,0
2148786,20923333201,2.718314,8,2944,448,4096,0
2148786,20923333201,2.718314,16,2944,448,4096,0
2148786,20923333201,2.718314,32,2944,448,4096,0
2148786,20923333201,2.718314,64,2944,448,4096,0
2148786,20923333201,2.718314,128,2944,448,4096,0
22624727,10882468962,4554.39502,1,2944,448,4096,5
22624727,10882468962,4554.39502,2,2944,448,4096,1
22624727,10882468962,4554.39502,4,2944,448,4096,1
22624727,10882468962,4554.39502,8,2944,448,4096,3
22624727,10882468962,4554.39502,16,2944,448,4096,3
22624727,10882468962,4554.39502,32,2944,448,4096,0
22624727,10882468962,4554.39502,64,2944,448,4096,2
22624727,10882468962,4554.39502,128,2944,448,4096,2
154303,187320262,1.349165,1,2944,448,4096,1
154303,187320262,1.349165,2,2944,448,4096,0
154303,187320262,1.349165,4,2944,448,4096,0
154303,187320262,1.349165,8,2944,448,4096,0
154303,187320262,1.349165,16,2944,448,4096,0
154303,187320262,1.349165,32,2944,448,4096,0
154303,187320262,1.349165,64,2944,448,4096,0
154303,187320262,1.349165,128,2944,448,4096,0
299756,596605030,1.441663,1,2944,448,4096,1
299756,596605030,1.441663,2,2944,448,4096,3
299756,596605030,1.441663,4,2944,448,4096,0
299756,596605030,1.441663,8,2944,448,4096,0
299756,596605030,1.441663,16,2944,448,4096,0
299756,596605030,1.441663,32,2944,448,4096,0
299756,596605030,1.441663,64,2944,448,4096,0
299756,596605030,1.441663,128,2944,448,4096,0
1647264,10300626064,2.653699,1,2944,448,4096,5
1647264,10300626064,2.653699,2,2944,448,4096,3
1647264,10300626064,2.653699,4,2944,448,4096,0
1647264,10300626064,2.653699,8,2944,448,4096,0
1647264,10300626064,2.653699,16,2944,448,4096,0
1647264,10300626064,2.653699,32,2944,448,4096,0
1647264,10300626064,2.653699,64,2944,448,4096,0
1647264,10300626064,2.653699,128,2944,448,4096,0
442898,763306384,2.942329,1,2944,448,4096,5
442898,763306384,2.942329,2,2944,448,4096,0
442898,763306384,2.942329,4,2944,448,4096,0
442898,763306384,2.942329,8,2944,448,4096,0
442898,763306384,2.942329,16,2944,448,4096,0
442898,763306384,2.942329,32,2944,448,4096,0
442898,763306384,2.942329,64,2944,448,4096,0
442898,763306384,2.942329,128,2944,448,4096,0
996414,2918052361,6.922174,1,2944,448,4096,1
996414,2918052361,6.922174,2,2944,448,4096,3
996414,2918052361,6.922174,4,2944,448,4096,3
996414,2918052361,6.922174,8,2944,448,4096,3
996414,2918052361,6.922174,16,2944,448,4096,0
996414,2918052361,6.922174,32,2944,448,4096,0
996414,2918052361,6.922174,64,2944,448,4096,0
996414,2918052361,6.922174,128,2944,448,4096,0
11108633,1.38E+13,2.998461,1,2944,448,4096,1
11108633,1.38E+13,2.998461,2,2944,448,4096,3
11108633,1.38E+13,2.998461,4,2944,448,4096,0
11108633,1.38E+13,2.998461,8,2944,448,4096,0
11108633,1.38E+13,2.998461,16,2944,448,4096,0
11108633,1.38E+13,2.998461,32,2944,448,4096,0
11108633,1.38E+13,2.998461,64,2944,448,4096,0
11108633,1.38E+13,2.998461,128,2944,448,4096,0
599170,840072256,29.739235,1,2944,448,4096,1
599170,840072256,29.739235,2,2944,448,4096,3
599170,840072256,29.739235,4,2944,448,4096,3
599170,840072256,29.739235,8,2944,448,4096,3
599170,840072256,29.739235,16,2944,448,4096,2
599170,840072256,29.739235,32,2944,448,4096,2
599170,840072256,29.739235,64,2944,448,4096,2
599170,840072256,29.739235,128,2944,448,4096,2
1056610,2646896704,28.403309,1,2944,448,4096,1
1056610,2646896704,28.403309,2,2944,448,4096,3
1056610,2646896704,28.403309,4,2944,448,4096,3
1056610,2646896704,28.403309,8,2944,448,4096,3
1056610,2646896704,28.403309,16,2944,448,4096,2
1056610,2646896704,28.403309,32,2944,448,4096,2
1056610,2646896704,28.403309,64,2944,448,4096,2
1056610,2646896704,28.403309,128,2944,448,4096,0
17165766,4.64E+11,11.854003,1,2944,448,4096,1
17165766,4.64E+11,11.854003,2,2944,448,4096,0
17165766,4.64E+11,11.854003,4,2944,448,4096,0
17165766,4.64E+11,11.854003,8,2944,448,4096,0
17165766,4.64E+11,11.854003,16,2944,448,4096,0
17165766,4.64E+11,11.854003,32,2944,448,4096,0
17165766,4.64E+11,11.854003,64,2944,448,4096,0
17165766,4.64E+11,11.854003,128,2944,448,4096,0
7307376,85268672064,11.800292,1,2944,448,4096,1
7307376,85268672064,11.800292,2,2944,448,4096,0
7307376,85268672064,11.800292,4,2944,448,4096,0
7307376,85268672064,11.800292,8,2944,448,4096,0
7307376,85268672064,11.800292,16,2944,448,4096,0
7307376,85268672064,11.800292,32,2944,448,4096,0
7307376,85268672064,11.800292,64,2944,448,4096,0
7307376,85268672064,11.800292,128,2944,448,4096,0
3213618,2054808900,39.73103,1,2944,448,4096,1
3213618,2054808900,39.73103,2,2944,448,4096,1
3213618,2054808900,39.73103,4,2944,448,4096,1
3213618,2054808900,39.73103,8,2944,448,4096,1
3213618,2054808900,39.73103,16,2944,448,4096,0
3213618,2054808900,39.73103,32,2944,448,4096,0
3213618,2054808900,39.73103,64,2944,448,4096,0
3213618,2054808900,39.73103,128,2944,448,4096,0
1483868,12314562841,2.915061,1,2944,448,4096,5
1483868,12314562841,2.915061,2,2944,448,4096,0
